"index","type_of_reference","title","id","pub_title","start_page","end_page","pub_year","keywords","place_published","unknown_tag","authors","volume","url","number","issn","publisher"
"0","CONF","A botanical survey of conservation headlands in Breckland Environmentally Sensistive Area, UK","42","The Brighton Crop Protection Conference – Weeds","979","984","1997","['conservation headland, Breckland, Environmentally Sensistive Area, ESA, Norfolk, Suffolk, arable weeds, pesticides, herbicides, glyphosate, Galium aparine, Ministry of Agriculture Fisheries and Food, Department for Environment Food and Rural Affairs, Poa annua, Stellaria media, Polygonum aviculare, Veronica arvensis, persica hederifolia, Chenopodium album, Fallopia convolvulus, Silene latifolia, Sisymbrium officinale, Urtica urens, Viola arvensis, Cirsium arvense, Capsella bursa-pastoris, Tripleurospermum inodorum, Aphanes arvensis, Agrostis stolonifera, Arenaria serpyllifolia, Papaver rhoeas, Arabidopsis thaliana, Lamium amplexicaule, Urtica dioica, trivialis, Anchusa arvensis, Reseda lutea, Myosotis arvensis, Legousis hybrida, Matricaria matricariodes, Anthriscus caucalis, Descurainia sophia, Fumaria officinalis, Senecio vulgaris, Sonchus asper, Cerastium fontanum, polita, Elymus repens, Artemesia vulgaris, Raphanus, vulgare, Convolvulus Rumex, Anthriscus, Acer, Lolium, arable weeds, arable plants, conservation headlands, farmland management']","Brighton","defaultdict(<class 'list'>, {'U1': ['42']})","Hodkinson, D.J.; Critchley, C.N.R.; Sherwood, A.J.","","","","",""
"1","JOUR","A comparison of constructed and natural habitat for frog conservation in an Australian agricultural landscape","190","Biological Conservation","61","71","2004","['Eastern Froglet, Crinia signifera, Spotted Grass Frog, Limnodynastes tasmaniensis, Brown Tree Frog, Litoria verrauxii, Smooth Toadlet, Uperoleia laevigata, Emerald-spotted Tree Frog, Litoria peronii, Beeping Froglet, Crinia parinsignifera, Striped Marsh Frog, Limnodynastes peronii, Banjo Frog, Limnodynastes dumerilii, Red-groined Haswell’s Froglet, Paracrinia haswelli, Spadefoot Toad, Neobatrachus sudelli, Bleating Tree Frog, Litoria dentata, Stony Creek Frog, Litoria lesueuri, Leaf Green Tree Frog, Litoria phyllochroa, amphibians, anuran, man-made ponds']","","defaultdict(<class 'list'>, {'U1': ['190']})","Hazell, D.; Hero, J.; Lindenmayer, D.; Cunningham, R.","119","","","",""
"2","JOUR","A comparison of the area extent of fish habitat gains and losses associated with selected compensation projects in Canada","335","Fisheries","18","25","2005","['salmonid, trout, salmon']","","defaultdict(<class 'list'>, {'U1': ['335']})","Harper, D.J.; Quigley, J.T.","30","","","",""
"3","JOUR","A critical evaluation of augmentative biological control","358","Biological Control","245","256","2004","['crop pests, pesticides']","","defaultdict(<class 'list'>, {'U1': ['358']})","Collier, T.; Van Steenwyk, R.","31","","","",""
"4","JOUR","A comparative test of mechanized and manual transplanting of eelgrass, Zostera marina, in Chesapeake Bay","410","Restoration Ecology","214","219","2004","['eelgrass Zostera marina, seagrass Halodule wrightii']","","defaultdict(<class 'list'>, {'U1': ['410']})","Fishman, J.R.; Orth, R.J.; Marion, S.; Bieri, J.","12","","","",""
"5","JOUR","A comparison of regeneration dynamics following gap creation at two geographically contrasting heathland sites","512","Journal of Applied Ecology","","","2000","['Heather Calluna vulgaris, SSSI, Site of Special Scientific Interest, NNR, National Nature Reserve, birch Betula, bracken Pteridium aquilinum, acid grassland, sand sedge Carex arenaria, red fescue Festuca rubra, bedstraw Galium, sheep’s sorrel Rumex acetosella, hawkweed Hieracium, Scots pine Pinus sylvestris, gorse Ulex, hair-grass']","","defaultdict(<class 'list'>, {'U1': ['512']})","Britton, A.J.; Carey, P.D.; Pakeman, R.J.; Marrs, R.H.","37","https://doi.org/10.1046/j.1365-2664.2000.00533.x","","",""
"6","JOUR","A frightening device for deterring deer use of cattle feeders","584","The Journal of Wildlife Management","271","276","2007","['bovine tuberculosis, TB, cattle, deer-resistant feeder, disease transmission, frightening device, Mycobacterium bovis, white-tailed deer, Odocoileus virginianus, corn, Zea mays, supplementary feeding, wild turkey, Meleagris gallopovo, grey squirrel, Sciurus carolinensis, deterrent, mammal, mammalia, supplemental']","","defaultdict(<class 'list'>, {'U1': ['584']})","Seward, N.W.; Phillips G.E. Duquette, J.F.; Vercauteren, K.C.","71","http://www.bioone.org/doi/abs/10.2193/2006-265","","",""
"7","JOUR","A low input approach to vegetation establishment on mine and coal ash wastes in semi-arid regions. I. Tin mine tailings in Zimbabwe","591","Journal of Applied Ecology","372","381","1995","['reed Phragmites, Nicotiana glauca, accelerated succession, erosion control, nutrient deficiency, reclamation, toxic tolerance, Chloris gayana, Dactyloctenium geminatum, legume, grass, turpentine tree, Colophospermum mopane,']","","defaultdict(<class 'list'>, {'U1': ['591']})","Piha, M.I.; Vallack, H.W.; Reeler B., M.; Michael, N.","32","","","",""
"8","JOUR","A low input approach to vegetation establishment on mine and coal ash wastes in semi-arid regions. I. Tin mine tailings in Zimbabwe","592","Journal of Applied Ecology","372","381","1995","['reed Phragmites, Nicotiana glauca, Acacia amythethophylla, Acacia erioloba, Acacia galpinii, Acacia gerrardii, Acacia rehmanniana, Acacia sieberiana, Acacia tortilis, Dichrostachys cinerea, Faidherbida albida, Leucaena leucocephala, Sesbania sesban, N-fixing, Combretum imberbe, Combretum obovatum, Senna singueana, accelerated succession, erosion control, nutrient deficiency, reclamation, toxic tolerance, leguminosae']","","defaultdict(<class 'list'>, {'U1': ['592']})","Piha, M.I.; Vallack, H.W.; Reeler, B.M.; Michael, N.","32","","","",""
"9","JOUR","A comparison of techniques for restoring heathland on abandoned farmland","597","Journal of Applied Ecology","400","411","1995","['heather, Calluna vulgaris']","","defaultdict(<class 'list'>, {'U1': ['597']})","Pywell, R.F.; Webb, N.R.; Putwain, P.D.","32","https://doi.org/10.2307/2405106","","",""
"10","JOUR","A literature review of insect responses to fire, compared to other conservation managements of open habitat","703","Biodiversity and Conservation","1141","1169","2001","['prescribed fire, burning, mowing, cutting, hay-making, grazing, insects management,']","","defaultdict(<class 'list'>, {'U1': ['703']})","Swengel, A.B.","10","","","",""
"11","JOUR","A comparison of planting and natural succession after a forest fire in the northern Sierra Nevada","737","Journal of Applied Ecology","597","602","1978","['herbicide application, succession, planting, wax currant, Ribes cereum, Sierra lodgepole pine, Pinus murrayana, Jeffrey pine, Pinus jeffreyi, white fir, Abies concolor, woolly mule-ears, Wyethia mollis,']","","defaultdict(<class 'list'>, {'U1': ['737']})","Bock, J.H.; Raphael, M.; Bock, C.E.","15","","","",""
"12","JOUR","A field experiment to assess the transplant success of salt marsh plants into tidal wetlands","852","Wetlands Ecology and Management","489","497","2005","['sea rush, Juncus maritimus, jointed rush, Leptocarpus similis, sharp club-rush, Schoenoplectus pungens, salt marsh restoration, salinity, Australian samphire, Sarcocornia quinqueflora, transplanting, saltmarsh management, tidal wetland']","","defaultdict(<class 'list'>, {'U1': ['852']})","Thomsen, D.; Marsden, I.D.; Sparrow, A.D.","13","","","",""
